service,src_bytes,count,srv_count,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate
eco_i,1472,139,139,0.007194244604316547,92,92,0.010869565217391304,0
eco_i,1472,139,139,0.007194244604316547,92,92,0.010869565217391304,0
eco_i,1488,140,140,0.007142857142857143,93,93,0.010752688172043012,0
eco_i,1488,140,140,0.007142857142857143,93,93,0.010752688172043012,0
eco_i,1504,141,141,0.0070921985815602835,94,94,0.010638297872340425,0
eco_i,1504,141,141,0.0070921985815602835,94,94,0.010638297872340425,0
eco_i,1520,142,142,0.007042253521126761,95,95,0.010526315789473684,0
eco_i,1520,142,142,0.007042253521126761,95,95,0.010526315789473684,0
eco_i,1536,143,143,0.006993006993006993,96,96,0.010416666666666666,0
eco_i,1536,143,143,0.006993006993006993,96,96,0.010416666666666666,0
eco_i,1552,144,144,0.006944444444444444,97,97,0.010309278350515464,0
eco_i,1552,144,144,0.006944444444444444,97,97,0.010309278350515464,0
eco_i,1568,145,145,0.006896551724137931,98,98,0.01020408163265306,0
eco_i,1568,145,145,0.006896551724137931,98,98,0.01020408163265306,0
eco_i,1584,146,146,0.00684931506849315,99,99,0.010101010101010102,0
eco_i,1584,146,146,0.00684931506849315,99,99,0.010101010101010102,0
eco_i,1600,147,147,0.006802721088435374,100,100,0.01,0
eco_i,1600,147,147,0.006802721088435374,100,100,0.01,0
eco_i,1616,148,148,0.006756756756756757,101,101,0.009900990099009901,0
eco_i,1616,148,148,0.006756756756756757,101,101,0.009900990099009901,0
eco_i,1632,149,149,0.006711409395973154,102,102,0.00980392156862745,0
eco_i,1632,149,149,0.006711409395973154,102,102,0.00980392156862745,0
eco_i,1648,150,150,0.006666666666666667,103,103,0.009708737864077669,0
eco_i,1648,150,150,0.006666666666666667,103,103,0.009708737864077669,0
eco_i,1664,151,151,0.006622516556291391,104,104,0.009615384615384616,0
eco_i,1664,151,151,0.006622516556291391,104,104,0.009615384615384616,0
eco_i,1680,152,152,0.006578947368421052,105,105,0.009523809523809525,0
eco_i,1680,152,152,0.006578947368421052,105,105,0.009523809523809525,0
eco_i,1696,153,153,0.006535947712418301,106,106,0.009433962264150943,0
eco_i,1696,153,153,0.006535947712418301,106,106,0.009433962264150943,0
eco_i,1712,154,154,0.006493506493506494,107,107,0.009345794392523364,0
eco_i,1712,154,154,0.006493506493506494,107,107,0.009345794392523364,0
eco_i,1728,155,155,0.0064516129032258064,108,108,0.009259259259259259,0
eco_i,1728,155,155,0.0064516129032258064,108,108,0.009259259259259259,0
eco_i,1744,156,156,0.00641025641025641,109,109,0.009174311926605505,0
eco_i,1744,156,156,0.00641025641025641,109,109,0.009174311926605505,0
eco_i,1760,157,157,0.006369426751592357,110,110,0.00909090909090909,0
eco_i,1760,157,157,0.006369426751592357,110,110,0.00909090909090909,0
eco_i,1776,158,158,0.006329113924050633,111,111,0.009009009009009009,0
eco_i,1776,158,158,0.006329113924050633,111,111,0.009009009009009009,0
eco_i,1792,159,159,0.006289308176100629,112,112,0.008928571428571428,0
eco_i,1792,159,159,0.006289308176100629,112,112,0.008928571428571428,0
eco_i,1808,160,160,0.00625,113,113,0.008849557522123894,0
eco_i,1808,160,160,0.00625,113,113,0.008849557522123894,0
eco_i,1824,161,161,0.006211180124223602,114,114,0.008771929824561403,0
eco_i,1824,161,161,0.006211180124223602,114,114,0.008771929824561403,0
eco_i,1840,162,162,0.006172839506172839,115,115,0.008695652173913044,0
eco_i,1840,162,162,0.006172839506172839,115,115,0.008695652173913044,0
eco_i,1856,163,163,0.006134969325153374,116,116,0.008620689655172414,0
eco_i,1856,163,163,0.006134969325153374,116,116,0.008620689655172414,0
eco_i,1872,164,164,0.006097560975609756,117,117,0.008547008547008548,0
eco_i,1872,164,164,0.006097560975609756,117,117,0.008547008547008548,0
eco_i,1888,165,165,0.006060606060606061,118,118,0.00847457627118644,0
eco_i,1888,165,165,0.006060606060606061,118,118,0.00847457627118644,0
eco_i,1904,166,166,0.006024096385542169,119,119,0.008403361344537815,0
eco_i,1904,166,166,0.006024096385542169,119,119,0.008403361344537815,0
eco_i,1920,167,167,0.005988023952095809,120,120,0.008333333333333333,0
eco_i,1920,167,167,0.005988023952095809,120,120,0.008333333333333333,0
eco_i,1936,168,168,0.005952380952380952,121,121,0.008264462809917356,0
eco_i,1936,168,168,0.005952380952380952,121,121,0.008264462809917356,0
eco_i,1952,169,169,0.005917159763313609,122,122,0.00819672131147541,0
eco_i,1952,169,169,0.005917159763313609,122,122,0.00819672131147541,0
eco_i,1968,170,170,0.0058823529411764705,123,123,0.008130081300813009,0
eco_i,1968,170,170,0.0058823529411764705,123,123,0.008130081300813009,0
eco_i,1984,171,171,0.005847953216374269,124,124,0.008064516129032258,0
eco_i,1984,171,171,0.005847953216374269,124,124,0.008064516129032258,0
